KKDJHT ESRYDKBN MZ	▁K K D J H T ▁E S RY D K B N ▁ M Z
KDT ZMCSRHSCIL	▁K D T ▁ Z M C S R H S C IL
RDOIDZB'JA VACND'ZBGH NFDOFVHFXD	▁ R D O ID Z B ' J A ▁VA C ND ' Z B G H ▁ N F D O F V H F X D
ZR'JRIW KDGUKBAA XTKOM MCCKTO	▁ Z R ' J RI W ▁K D G U K B A A ▁ X T K OM ▁ M C CK T O
GZTYR	▁G Z TY R
IFRGJG LC'I YO US	▁IF R G J G ▁ L C ' I ▁ Y O ▁US
MJBK KZS HKDRT	▁ M J B K ▁K Z S ▁ H K D R T
HAZH	▁HA Z H
IR XC U J	▁I R ▁ X C ▁ U ▁ J
PEDQYZKC VFFYEE'KJ WQ	▁P ED Q Y Z K C ▁ V FF Y E E ' K J ▁W Q
GER Y 'TZVR'	▁G ER ▁ Y ▁ ' T Z V R '
JNR BWV	▁ J N R ▁B W V
YCVOZ RIROROA	▁ Y C VO Z ▁RI RO RO A
FIPAZU SABWLSE EEI'IMSMFT HP	▁FI P A Z U ▁SA B W L SE ▁E E I ' IM S M F T ▁ H P
QKQ	▁ Q K Q
HKPV HWNKRTXU UHBCY ULFQYZGJJ	▁ H K P V ▁ H W N K R T X U ▁ U H B C Y ▁ UL F Q Y Z G J J
LFWWXOTCD QSMFEINGSX P	▁ L F W W X O T C D ▁ Q S M F E ING S X ▁P
MQFRXB CZIUDIXCE 'VVWCOHMZN FKOETPG	▁ M Q F R X B ▁C Z I U DI X CE ▁ ' V V W CO H M Z N ▁F K O ET P G
TRNDVJI	▁T R ND V J I
XRAGQOS A	▁ X RA G Q O S ▁A
GFJER IJSY	▁G F J ER ▁I J S Y
ZZFRLPND SMGJ ZA	▁ Z Z F R L P ND ▁S M G J ▁ Z A
XARJVYXUEC	▁ X AR J V Y X U E C
ZJNQVLYQKA OW LJRMKZXV	▁ Z J N Q V LY Q K A ▁ OW ▁ L J R M K Z X V
UM GRAIUTX GOT'QNXWJ OTV	▁ UM ▁GRA I U T X ▁GOT ' Q N X W J ▁O T V
QAVMSN KTSXWXC	▁ Q A V M S N ▁K T S X W X C
UUJU N UYM FYC'Y	▁ U U J U ▁ N ▁ U Y M ▁F Y C ' Y
IZWNVR	▁I Z W N V R
O'I FOQBIQDX NCLCVOAFQW	▁O ' I ▁F O Q B I Q D X ▁ N C L C VO A F Q W
MU TJGQG	▁MU ▁T J G Q G
ICCW'Q OQRXBF	▁I C C W ' Q ▁O Q R X B F
ILTXHMRMF ZITKWHIT VATM	▁I L T X H M R M F ▁ Z IT K W H IT ▁VA T M
YHZIGCU SOS TIO	▁ Y H Z IG C U ▁SO S ▁T I O
YEW LJYMHDWG	▁ Y E W ▁ L J Y M H D W G
DH KPDFBBZ AYGVBPWQ'X	▁ D H ▁K P D F B B Z ▁A Y G V B P W Q ' X
V'IDTW DHM POMY HH'	▁ V ' ID T W ▁ D H M ▁PO M Y ▁ H H '
RSMGOWIK SDGCBAZA KMSJGMF'	▁ R S M G OW I K ▁S D G C B A Z A ▁K M S J G M F '
A EVRBSMI	▁A ▁E V R B S M I
OU ABRBQ	▁O U ▁A B R B Q
I NC	▁I ▁ N C
P XIV	▁P ▁ X IV
MKUIIUUH BSZS	▁ M K U I I U U H ▁B S Z S
NTWRUQ L	▁ N T W RU Q ▁ L
GWRNVCWIX XYCIFDEBGN B 'Q	▁G W R N V C W I X ▁ X Y CI F DE B G N ▁B ▁ ' Q
LDKBERBOV MYW AXQICIZK JB	▁ L D K BER B O V ▁MY W ▁A X Q IC I Z K ▁ J B
X KXEIZ ZDVJDN' QRGK	▁ X ▁K X E I Z ▁ Z D V J D N ' ▁ Q R G K
ZMSPDEU'O RX'SWQRA' XFGLM	▁ Z M S P DE U ' O ▁ R X ' S W Q RA ' ▁ X F G L M
NL SCB 'ZURK	▁ N L ▁S C B ▁ ' Z UR K
KLIKX QAQDEKXKZ SCOIPO XM'CSZ	▁K LI K X ▁ Q A Q DE K X K Z ▁S CO I PO ▁ X M ' C S Z
BQP	▁B Q P
WSXK ZULMJO KRQFAEIVHS	▁W S X K ▁ Z UL M J O ▁K R Q F A E IV H S
FY XTBZDRV	▁F Y ▁ X T B Z D R V
GI US UCCZGU'FQ	▁G I ▁US ▁ U C C Z G U ' F Q
S PWZJHG PHNOVLRGZP ''	▁S ▁P W Z J H G ▁PH N O V L R G Z P ▁ ' '
GAXRYMQ CMTQZSSN L	▁GA X RY M Q ▁C M T Q Z S S N ▁ L
G WWUAR 'J XKYRUSRJQ	▁G ▁W W U AR ▁ ' J ▁ X K Y RU S R J Q
'QNTUSJOJ QOS RYF UANXV	▁ ' Q N T US J O J ▁ Q O S ▁ RY F ▁ U AN X V
NMJVYV	▁ N M J V Y V
CA	▁CA
OIZZL YKMOZDPL NEA 'IL	▁O I Z Z L ▁ Y K MO Z D P L ▁NE A ▁ ' IL
ZJNIQJXNWI KYPGW'P	▁ Z J N I Q J X N W I ▁K Y P G W ' P
CCEGEHX D EPYDM 'AC	▁C CE GE H X ▁ D ▁E P Y D M ▁ ' A C
BRGRNLBUDX VN'VXDIVI PZZ Z	▁B R G R N L B U D X ▁ V N ' V X DI VI ▁P Z Z ▁ Z
MD JVQPMDTP	▁ M D ▁ J V Q P M D T P
MTW	▁ M T W
QIN JPUZRGZYT	▁ Q IN ▁ J P U Z R G Z Y T
DAYXVLWI R JY'DHQII	▁DAY X V L W I ▁ R ▁ J Y ' D H Q I I
EEIGNRU BR'TQENIIP	▁E E IG N RU ▁B R ' T Q EN I I P
PGPLT HKFTYFXS REBQKQWE	▁P G P L T ▁ H K F TY F X S ▁RE B Q K Q W E
TPPKDE WIH	▁T PP K DE ▁W I H
'WBSFVDHS	▁ ' W B S F V D H S
SVJNKAYA' 'THCX	▁S V J N K A Y A ' ▁ ' TH C X
VUKIT MADKLEDIY	▁ V U K IT ▁MA D K LE DI Y
BLCCXDJKHI BLACEMLXU	▁B L C C X D J K H I ▁B LA CE M L X U
VK AQKDL	▁ V K ▁A Q K D L
IMCVSTXQPS RMJHUJR	▁I M C V S T X Q P S ▁ R M J H U J R
T DFHGNIRAI	▁T ▁ D F H G N IR A I
IPEMWDXLC LRRZXQVSA JOVEECSEV'	▁I PE M W D X L C ▁ L R R Z X Q V S A ▁JO VE E C SE V '
'ZYKLJFE 'OMDTEI	▁ ' Z Y K L J F E ▁ ' OM D TE I
ARA'UEMXRD AYNTVNIL MTOBDPY	▁A RA ' U E M X R D ▁A Y N T V N IL ▁ M T O B D P Y
Z	▁ Z
SE	▁SE
IZSULZP'W ZTHD LFDYBWKNX	▁I Z S UL Z P ' W ▁ Z TH D ▁ L F D Y B W K N X
VUYBT NMLJY'K ZWHUTQEB	▁ V U Y B T ▁ N M L J Y ' K ▁ Z W H U T Q E B
QF UUPKYWDSA GMU'FMWH	▁ Q F ▁ U U P K Y W D S A ▁G M U ' F M W H
KKVH	▁K K V H
LPUYVXGN MRDSPI'E AMN ZA	▁ L P U Y V X G N ▁MR D S P I ' E ▁A M N ▁ Z A
OYM	▁O Y M
EQ' IA MZUWXZHR	▁E Q ' ▁I A ▁ M Z U W X Z H R
R NFVF VHCYRR FMS	▁ R ▁ N F V F ▁ V H C Y R R ▁F M S
GNHZBQXGW	▁G N H Z B Q X G W
MYOD	▁MY O D
CRDU'PB	▁C R D U ' P B
A OIXNF	▁A ▁O I X N F
W'KYRUOQZ RFWMWMZ	▁W ' K Y RU O Q Z ▁ R F W M W M Z
'ILEISIF CXLKEIIILM	▁ ' IL E IS IF ▁C X L KE I I IL M
OAEEIHGCZS TGRNWHSER MWGCUCEZ	▁O A E E I H G C Z S ▁T G R N W H S ER ▁ M W G C U CE Z
X	▁ X
NVESTEV RCHMEJGVX LX'FHJW LPR	▁ N VE S TE V ▁ R CH ME J G V X ▁ L X ' F H J W ▁ L P R
Q' GWOAJ SDTLYOITBB	▁ Q ' ▁G W O A J ▁S D T LY O IT B B
ZEU DN HXGQQMDWG'	▁ Z E U ▁ D N ▁ H X G Q Q M D W G '
E'WSIXAWD YSMV RTHIBUFV QHNIYVNMI	▁E ' W S I X A W D ▁ Y S M V ▁ R TH I B U F V ▁ Q H N I Y V N M I
V' FRA YBPGM'XR HDCVXB	▁ V ' ▁F RA ▁ Y B P G M ' X R ▁ H D C V X B
GFTQGQMQ GHLVSY KB B'TFEJPB	▁G F T Q G Q M Q ▁G H L V S Y ▁K B ▁B ' T F E J P B
MCMZQ'SUJM	▁ M C M Z Q ' S U J M
PBRPAN SXKZE SRICTZZYLN	▁P B R P AN ▁S X K Z E ▁S RI C T Z Z Y L N
ZASSDBSQA KK YRBULS PU	▁ Z AS S D B S Q A ▁K K ▁ Y R B UL S ▁P U
OKQZRAFKL	▁O K Q Z RA F K L
SES MK	▁SE S ▁ M K
KITLBW YU 'ZIY RJSZTCC	▁K IT L B W ▁ Y U ▁ ' Z I Y ▁ R J S Z T C C
NCEJR HGDIX	▁ N CE J R ▁ H G DI X
X JZZG'RCRK JQEBO' ZXBAKN	▁ X ▁ J Z Z G ' R C R K ▁ J Q E B O ' ▁ Z X B A K N
BWSWVUQNF HDSE	▁B W S W V U Q N F ▁ H D SE
OGZBL	▁O G Z B L
TXLHUA P F RBAHY	▁T X L H U A ▁P ▁F ▁ R B A H Y
'FBQGGOJH	▁ ' F B Q G G O J H
LKMUCGTFG JSNTPLAPAD VTN'WSKKCU GWQZP''	▁ L K M U C G T F G ▁ J S N T P LA P AD ▁ V T N ' W S K K C U ▁G W Q Z P ' '
VXSYOTPF'I JSYZMTRII ATYBZ OLHQOGWP	▁ V X S Y O T P F ' I ▁ J S Y Z M T RI I ▁AT Y B Z ▁O L H Q O G W P
MNB LZ I	▁ M N B ▁ L Z ▁I
MAKKJ	▁MA K K J
WCKD	▁W CK D
YWJ	▁ Y W J
KHAUWWFYYY XSULJJMNQ ZCGNHTBT UHHW	▁K HA U W W F Y Y Y ▁ X S UL J J M N Q ▁ Z C G N H T B T ▁ U H H W
GTEXJXX AWWVJO FVEALNRK PKTDSUJZR	▁G TE X J X X ▁A W W V J O ▁F VE AL N R K ▁P K T D S U J Z R
A'JYCUP QH XUXINLZHBD	▁A ' J Y C U P ▁ Q H ▁ X U X IN L Z H B D
JBC AVBN	▁ J B C ▁A V B N
BA	▁BA
KKZATARGP	▁K K Z AT AR G P
JSRQI FGMB	▁ J S R Q I ▁F G M B
WOBKKNDAS QUC	▁W O B K K ND AS ▁QU C
HFJZ BZ	▁ H F J Z ▁B Z
C'O HBX LBSCO	▁C ' O ▁ H B X ▁ L B S CO
VFDB BXXD	▁ V F D B ▁B X X D
JWIQ	▁ J W I Q
XBXI KLLO MVMCNH''PK TUD	▁ X B X I ▁K LL O ▁ M V M C N H ' ' P K ▁T U D
YZ IRJKY'L	▁ Y Z ▁I R J K Y ' L
LLKMPQAL JFJ ERWXEFOUUE FC'	▁ LL K M P Q AL ▁ J F J ▁ ER W X E F O U U E ▁F C '
LUKF PJCNE LODEVKCVF	▁ LU K F ▁P J C NE ▁LO DE V K C V F
BBXGULXLQ ZQUZVL UDFMBI WZGBH'JKSM	▁B B X G UL X L Q ▁ Z QU Z V L ▁ U D F M B I ▁W Z G B H ' J K S M
YBHJWS G	▁ Y B H J W S ▁G
HLQ	▁ H L Q
FHC SQQRT ZNOSQPFQL	▁F H C ▁S Q Q R T ▁ Z N O S Q P F Q L
ZCIGHYE YGA	▁ Z C IG H Y E ▁ Y G A
LFBZLCTH COUU	▁ L F B Z L C TH ▁CO U U
KFSW''VWAG PRBBLP	▁K F S W ' ' V W A G ▁P R B B L P
PCQ VXSVJT ZSCPKN	▁P C Q ▁ V X S V J T ▁ Z S C P K N
CVUKA	▁C V U K A
HKI''I PNAJF	▁ H K I ' ' I ▁P N A J F
D NTGILYU PSJTIVFKEL	▁ D ▁ N T G IL Y U ▁P S J T IV F K EL
LQXSWGM	▁ L Q X S W G M
'PW BXUH XC Q	▁ ' P W ▁B X U H ▁ X C ▁ Q
PWKQZFSWPM M XR'XOFSSL '	▁P W K Q Z F S W P M ▁ M ▁ X R ' X O F S S L ▁ '
OHWUVR COYLG EO'	▁OH W U V R ▁CO Y L G ▁E O '
SKZFSP	▁S K Z F S P
S TBOU QGM DKIEFKEF	▁S ▁T B O U ▁ Q G M ▁ D K I E F KE F
RWNO QRJFQTQJ 'ZGJVEVA'K	▁ R W N O ▁ Q R J F Q T Q J ▁ ' Z G J VE V A ' K
MWUQXFT	▁ M W U Q X F T
'ROL'GBC DR EOMFPOQ BSGSOPMJLY	▁ ' RO L ' G B C ▁DR ▁E OM F PO Q ▁B S G S O P M J LY
IFYARBZVCR OKOK	▁IF Y AR B Z V C R ▁O K O K
BXOINOK	▁B X O IN O K
MRN	▁MR N
EKELETGHZ OUED NB ELRKIMAM	▁E KE LE T G H Z ▁O U ED ▁ N B ▁E L R K IM A M
JXWJUSMK FDPFO ODR RK	▁ J X W J US M K ▁F D P F O ▁O D R ▁ R K
VRUKXSKR ZOKPWM'RGF RGTH	▁ V RU K X S K R ▁ Z O K P W M ' R G F ▁ R G TH
TYBKNA	▁T Y B K N A
LTTVNG HKMWM AMU	▁ L T T V NG ▁ H K M W M ▁A M U
ZYT'HHC'TK GWJDNAZ CZNEDR	▁ Z Y T ' H H C ' T K ▁G W J D N A Z ▁C Z N ED R
EMNKRU IGGFFRFED	▁E M N K RU ▁I G G FF R F ED
QENEKTZXWV TEALYF HWPS BUCERPSE	▁ Q EN E K T Z X W V ▁TEA LY F ▁ H W P S ▁BU C ER P SE
WEIXLC PAQOGXH	▁WE I X L C ▁PA Q O G X H
X BI'QG	▁ X ▁BI ' Q G
'Z	▁ ' Z
KDOWSQW	▁K D OW S Q W
ENLUL NNLRGGC HHA VMOZ	▁EN L UL ▁ N N L R G G C ▁ H HA ▁ V MO Z
DBF'''QABN NEHWY NYKSXB OEWQLSBLD	▁ D B F ' ' ' Q A B N ▁NE H W Y ▁ N Y K S X B ▁O E W Q L S B L D
NE L	▁NE ▁ L
JAP P	▁JA P ▁P
NCPRTQDERV	▁ N C P R T Q DER V
RNHQMP'XKO CG TWLDDLDGDW CAQNHCJPTB	▁ R N H Q M P ' X K O ▁C G ▁T W L D D L D G D W ▁CA Q N H C J P T B
JMUBVTAIT OHIKYPOR I FXWOOJSSF	▁ J M U B V TA IT ▁OH I K Y P OR ▁I ▁F X W O O J S S F
VMYVWNVRT PYUHJAC P'D	▁ V M Y V W N V R T ▁P Y U H J A C ▁P ' D
'JZRJ DQE BOPXSKRL	▁ ' J Z R J ▁ D Q E ▁BO P X S K R L
R YITZ	▁ R ▁ Y IT Z
JAUIXQWA	▁JA U I X Q W A
DV TTUWWS CTPQKSVB FBTD	▁ D V ▁T T U W W S ▁C T P Q K S V B ▁F B T D
RQ	▁ R Q
FREH CQLW NITEJSZHCT	▁F RE H ▁C Q L W ▁ N IT E J S Z H C T
A TJ'PNN' FG	▁A ▁T J ' P N N ' ▁F G
NLLQEFZ	▁ N LL Q E F Z
ZBLC K'GHIEWW	▁ Z B L C ▁K ' G H I E W W
PV APJIYZWJGZ WUM Z	▁P V ▁A P J I Y Z W J G Z ▁W UM ▁ Z
RAEHPUDJ NGQKDHHPSD PLW UTNMRN'YAU	▁RA E H P U D J ▁ NG Q K D H H P S D ▁P L W ▁ U T N M R N ' Y A U
NEB MTNUD TIPT IQ'YDKZ	▁NE B ▁ M T N U D ▁T I P T ▁I Q ' Y D K Z
WRZIVVARV YL	▁W R Z IV V AR V ▁ Y L
YDJEZ NW APSXEYY MPZ'YHQAM	▁ Y D J E Z ▁ N W ▁A P S X E Y Y ▁ M P Z ' Y H Q A M
TCHVBOC	▁T CH V B O C
BLYBCC'BSJ JCRPTL YFULQH	▁B LY B C C ' B S J ▁ J C R P T L ▁ Y FUL Q H
HHUYWGJJ'R WJSAVP VZHEH	▁ H H U Y W G J J ' R ▁W J S A V P ▁ V Z HE H
IM EF'R	▁I M ▁E F ' R
MWGFBO	▁ M W G F B O
ZDWJYHX QZUOK	▁ Z D W J Y H X ▁ Q Z U O K
C'	▁C '
QO OATFONRDG	▁ Q O ▁O AT F ON R D G
JGQT	▁ J G Q T
ILIJB A BGCKOVJD	▁I LI J B ▁A ▁B G CK O V J D
GA UETT	▁GA ▁ U ET T
XARH'PF'	▁ X AR H ' P F '
ECAE	▁E CA E
CQRIGMARIL RMMQQ OICFYPSME	▁C Q RI G M AR IL ▁ R M M Q Q ▁O IC F Y P S ME
AQBKEHKMB X'SP'QZ	▁A Q B KE H K M B ▁ X ' S P ' Q Z
E	▁E
MRISBGGJW JQASIGR XRFHCGPFB JAEZD'B	▁MR IS B G G J W ▁ J Q AS IG R ▁ X R F H C G P F B ▁JA E Z D ' B
F'GSOZVD HCEKQPP VLN'SHOIM MZSHMT	▁F ' G S O Z V D ▁ H CE K Q PP ▁ V L N ' S HO IM ▁ M Z SH M T
VTU	▁ V T U
AN PBYODUUYHO QCKVBI	▁AN ▁P B Y O D U U Y HO ▁ Q CK V B I
SFN WOXHP AQIDJIA	▁S F N ▁W O X H P ▁A Q ID J IA
UQVFHJ	▁ U Q V F H J
OLM	▁O L M
VV'DSPSC B I I	▁ V V ' D S P S C ▁B ▁I ▁I
RPT AOKHHL A	▁ R P T ▁A O K H H L ▁A
GMEFHCMBF AOR'TQ B'N 'IVQ	▁G ME F H C M B F ▁A OR ' T Q ▁B ' N ▁ ' IV Q
'BT' NMQNIOK ACP'XXNFNF QYQXQTFIN	▁ ' B T ' ▁ N M Q N I O K ▁A C P ' X X N F N F ▁ Q Y Q X Q T F IN
LWOMR JHLRRZW HIAVCIWMF YZSIP	▁ L W OM R ▁ J H L R R Z W ▁HI A V CI W M F ▁ Y Z S I P
'PD	▁ ' P D
DMB CDO	▁ D M B ▁C D O
B BQPXU LTOD KMUMJC	▁B ▁B Q P X U ▁ L T O D ▁K M UM J C
RLNNWXXN IFEBKLMCUS	▁ R L N N W X X N ▁IF E B K L M C US
FEYX'UDRGP LTQU YGJ	▁FE Y X ' U D R G P ▁ L T QU ▁ Y G J
UMN LWYBRCAL	▁ UM N ▁ L W Y B R C AL
GMO SINTKPKCS	▁G MO ▁S IN T K P K C S
RXP	▁ R X P
AC F	▁A C ▁F
XOMW QIWVIRMDW OHCXXKE	▁ X OM W ▁ Q I W VI R M D W ▁OH C X X KE
UBJLYVA	▁ U B J LY V A
SAYRKX WYXBS'V VWUDNMXD AAYRTNYLFM	▁SAY R K X ▁W Y X B S ' V ▁ V W U D N M X D ▁A A Y R T N Y L F M
ZJQ	▁ Z J Q
ZSP SZTIX Y RSNEKFO	▁ Z S P ▁S Z TI X ▁ Y ▁ R S NE K F O
RVEQUCTSTM MPXBZ F'UIM DIAD'	▁ R VE QU C T S T M ▁ M P X B Z ▁F ' U IM ▁DI AD '
EOHZHBHC	▁E O H Z H B H C
XB	▁ X B
I	▁I
'LD ' ZTT'HFR PFL'TM'QZZ	▁ ' L D ▁ ' ▁ Z T T ' H F R ▁P F L ' T M ' Q Z Z
QCUZYB Z	▁ Q C U Z Y B ▁ Z
OC V X	▁O C ▁ V ▁ X
JSTYZIOMD JUVY QQX	▁ J S TY Z I OM D ▁JU V Y ▁ Q Q X
WODNZV	▁W O D N Z V
DLIY' KTER	▁ D LI Y ' ▁K TER
AHW'PLUENV NTODIB	▁A H W ' P LU EN V ▁ N T O DI B
KGGH'XHML APYQE YPCQZ'I	▁K G G H ' X H M L ▁A P Y Q E ▁ Y P C Q Z ' I
DNME	▁ D N ME
'QVZGFGI	▁ ' Q V Z G F G I
LXISYE H PYTRA	▁ L X IS Y E ▁ H ▁P Y T RA
' WGI CNWL	▁ ' ▁W G I ▁C N W L
DAMK KVZNKSZWIM IYLTCZNHTP	▁DA M K ▁K V Z N K S Z W IM ▁I Y L T C Z N H T P
WADTQ F YHYROJNMTA	▁WA D T Q ▁F ▁ Y H Y RO J N M TA
EXSG'PV	▁EX S G ' P V
DNZUFWVP UJRY J ZEI'U	▁ D N Z U F W V P ▁ U J RY ▁ J ▁ Z E I ' U
ENKQKGIB QSJPJ FJIZK	▁EN K Q K G I B ▁ Q S J P J ▁F J I Z K
MVOV' XFMBCSGK	▁ M VO V ' ▁ X F M B C S G K
XJBNZDTUW	▁ X J B N Z D T U W
ALH LQNWHQCBKA AFZXIZVT	▁A L H ▁ L Q N W H Q C B K A ▁A F Z X I Z V T
JUFBBPM VVDMJNBHK	▁JU F B B P M ▁ V V D M J N B H K
SPTGSQVCKZ UFYHQ'P ZU VMGIYAJ	▁SP T G S Q V CK Z ▁ U F Y H Q ' P ▁ Z U ▁ V M G I Y A J
YCFTI	▁ Y C F TI
JDJZBPF RGEBV RASQJAX KDIFTWG	▁ J D J Z B P F ▁ R GE B V ▁RA S Q J A X ▁K D IF T W G
YWV	▁ Y W V
SXAHMVAVA NYTZY'FBX UNGFHCT RRKVVIGQ	▁S X A H M V A V A ▁ N Y T Z Y ' F B X ▁UN G F H C T ▁ R R K V VI G Q
HVJTIWE LSXIQ YGRV	▁ H V J TI W E ▁ L S X I Q ▁ Y G R V
GI	▁G I
HFUUBT MIIG	▁ H F U U B T ▁MI IG
BYBEXPN LMYLT JIZI	▁BY B E X P N ▁ L M Y L T ▁ J I Z I
EZSLEMBCIC GOJBIK'A PZN'NNYLTX YGXNMJDC	▁E Z S LE M B C IC ▁GO J B I K ' A ▁P Z N ' N N Y L T X ▁ Y G X N M J D C
LSNWMD BNTGDHW	▁ L S N W M D ▁B N T G D H W
FVEHTDW KQOZYF UPSFBQG YEDI	▁F VE H T D W ▁K Q O Z Y F ▁UP S F B Q G ▁ Y ED I
L	▁ L
BJVV ECW SNI	▁B J V V ▁E C W ▁S N I
GY TNG	▁G Y ▁T NG
PFTCZPHGC HGT WERICYYSLC QIFVSP	▁P F T C Z PH G C ▁ H G T ▁WE RI C Y Y S L C ▁ Q IF V S P
SWRHERSDZ XNLHOVR KVSFBYB TOFVXO	▁S W R H ERS D Z ▁ X N L HO V R ▁K V S F B Y B ▁TO F V X O
EOGRPR TGETH D'VCU	▁E O G R P R ▁T GE TH ▁ D ' V C U
QGV'JPW M	▁ Q G V ' J P W ▁ M
